GINT_000014	0.00564557374227	0.00575304825691	0.0935297525321	12.64	3104.4	7.46	777.6	0.00407164025254478	0.00959362139917695	0.42441118771834	NA	NA	NA	NA	NA	NA
GINT_000015	0	0	None	0	501.333333333	0	128.666666667	0	0	NA	0.0138	160.5	469.5	99	0.0061	1e-04
GINT_000016	0.000685049927091	0.000387596899225	-1.11173317656	0	396.333333333	0.18	119.666666667	0	0.00150417827297631	0	NA	NA	NA	NA	NA	NA
GINT_000018	0.000438024488698	0.000440589288173	0.0149919947447	0	615.666666667	0.32	191.333333333	0	0.00167247386759873	0	0.0226	205.6	601.4	0.3242	0.0049	0.0152
GINT_000019	0	0	None	0	1264.66666667	0	310.333333333	0	0	NA	NA	NA	NA	NA	NA	NA
GINT_000021	0.00088261114202	0.000915522263837	0.154261707233	0.36	1890.03333333	1.62	512.966666667	0.000190472831167335	0.00315809994151462	0.0603124773423049	NA	NA	NA	NA	NA	NA
GINT_000022	0.000697210576684	0.000394477317554	-1.11173317656	0.18	398	0	109	0.000452261306532663	0	Inf	NA	NA	NA	NA	NA	NA
GINT_000024	0.0018207507996	0.00189681955686	0.176958400538	1.42	1080.8	0.9	278.2	0.00131384159881569	0.00323508267433501	0.406123036433917	0.0473	346.2	1012.8	0.1587	0.0067	0.0423
GINT_000025	0.00101451428317	0.00123912350235	0.937745059224	0.84	1927.1	1.88	511.9	0.000435888122048674	0.00367259230318422	0.118686771104636	NA	NA	NA	NA	NA	NA
GINT_000026	0	0	None	0	368.333333333	0	93.6666666667	0	0	NA	0.0158	117.7	344.3	0.001	0	0.0206
GINT_000027	0	0	None	0	1028.66666667	0	258.333333333	0	0	NA	0.0207	327.9	959.1	2.1443	0.008	0.0037
GINT_000028	0.000351727126745	0.000464344941957	0.819795688532	0	805.666666667	0.42	199.333333333	0	0.00210702341137476	0	0.0093	256	749	0.5242	0.0025	0.0048
