#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
RNaseP_bact_a        RF00010   contig_1             -          cm        1      367   141664   141312      -    no    1 0.46   0.0  265.5   1.7e-37 !   Bacterial RNase P class A
HEARO                RF02033   contig_1             -          cm        1      224   644177   644438      +    no    1 0.50   0.0   89.1   6.1e-13 !   HNH endonuclease-associated RNA and ORF (HEARO) RNA
HEARO                RF02033   contig_1             -          cm        1      224  2789334  2789595      +    no    1 0.50   0.0   85.7   2.1e-12 !   HNH endonuclease-associated RNA and ORF (HEARO) RNA
HEARO                RF02033   contig_1             -          cm        1      224  1808395  1808656      +    no    1 0.49   0.0   84.4   3.2e-12 !   HNH endonuclease-associated RNA and ORF (HEARO) RNA
HEARO                RF02033   contig_1             -          cm        1      224  1237463  1237202      -    no    1 0.48   0.0   79.8   1.7e-11 !   HNH endonuclease-associated RNA and ORF (HEARO) RNA
6S                   RF00013   contig_1             -          cm        1      187   551530   551345      -    no    1 0.39   0.0   56.4   8.6e-10 !   6S / SsrS RNA
#
# Program:         cmscan
# Version:         1.1.4 (Dec 2020)
# Pipeline mode:   SCAN
# Query file:      /tmp/tmp55tajx5y/contigs.fna
# Target file:     /home/pascal/bioinformatics/bakta/db/ncRNA-genes
# Option settings: cmscan -g -Z 5 --tblout /tmp/tmp55tajx5y/ncrna-genes.tsv --noali --cut_tc --rfam --nohmmonly --cpu 8 /home/pascal/bioinformatics/bakta/db/ncRNA-genes /tmp/tmp55tajx5y/contigs.fna 
# Current dir:     /tmp/tmp55tajx5y
# Date:            Wed Oct 18 11:56:20 2023
# [ok]
