5c62ae1a2e2b948b842fd4cd1d3b8a58-contig_1-1785-4235-+	WP_003226808	638	803	47.3	2.79e-234	669	WP_003226808 BlastRules~~~70~~~80.0~~~80.0~~~90.0~~~gyrB~~~DNA gyrase subunit B~~~BlastRules:WP_003226808
eec8ec6454d2cc21becdbd7adedd01ec-contig_1-4266-6764-+	WP_003244540	821	803	47.1	8.63e-256	732	WP_003244540 BlastRules~~~70~~~80.0~~~80.0~~~90.0~~~gyrA~~~DNA gyrase subunit A~~~EC:5.6.2.2,BlastRules:WP_003244540
35da6a54b8043b6cbc58f76c9974a60d-contig_1-8655-9311-+	WP_000130175	317	172	33.1	3.53e-20	86.3	WP_000130175 BlastRules~~~70~~~80.0~~~80.0~~~90.0~~~~~~transaldolase B~~~BlastRules:WP_000130175
80284d74502d3dd8dcbe18424ab882b7-contig_1-9333-10172-+	VFG013265	195	147	29.9	1.47e-08	53.1	VFG013265 VFDB~~~75~~~90~~~90~~~90~~~orfM~~~deoxyribonucleotide triphosphate pyrophosphatase~~~VFDB:VFG013265,VFDB:VFC0258
5fdbc12fa21ad2068aa8dd19d860ffef-contig_1-10182-11675--	WP_010989131	430	168	27.4	1.80e-10	62.4	WP_010989131 BlastRules~~~70~~~80.0~~~80.0~~~90.0~~~tolB~~~Tol-Pal system protein TolB~~~BlastRules:WP_010989131
8d527fe2f551a85af576979eb05cefe2-contig_1-13354-14070--	WP_011035267	253	200	29.5	5.76e-17	77.0	WP_011035267 BlastRules~~~70~~~80.0~~~80.0~~~90.0~~~exbB~~~TonB-system energizer ExbB~~~BlastRules:WP_011035267
fd026eeac272921d240c4a37591a3dc2-contig_1-14818-15888--	WP_003114738	538	83	33.7	2.71e-05	45.4	WP_003114738 BlastRules~~~70~~~80.0~~~80.0~~~90.0~~~atuC~~~geranyl-CoA carboxylase subunit beta~~~BlastRules:WP_003114738,BlastRules:WP_074979787
69347d3a4eade905f810ad8d50a405b7-contig_1-16013-17176-+	WP_011011316	377	376	34.3	1.87e-71	228	WP_011011316 BlastRules~~~80~~~85.0~~~90.0~~~90.0~~~gltA~~~citrate synthase~~~EC:2.3.3.16,BlastRules:WP_011011316
1516e0bea7b5a9d491c20b31bb0a8cab-contig_1-17192-18685-+	WP_010880161	353	106	39.6	5.61e-10	60.5	WP_010880161 BlastRules~~~70~~~80.0~~~80.0~~~90.0~~~kdtA~~~3-deoxy-D-manno-octulosonic acid transferase~~~EC:2.4.99.12,BlastRules:WP_010880161
415d2d36590a7d599180e118577a8225-contig_1-26289-26915-+	WP_004041041	283	183	30.1	4.01e-15	71.6	WP_004041041 BlastRules~~~70~~~80.0~~~80.0~~~90.0~~~rhcF~~~2,4-diketo-3-deoxy-L-rhamnonate hydrolase~~~BlastRules:WP_004041041
8e47b40b0efe75f80d140e4589dc061e-contig_1-27811-28419--	WP_001029486	336	171	38.0	7.56e-30	112	WP_001029486 BlastRules~~~80~~~67.0~~~90.0~~~90.0~~~pduO~~~two-domain cob(I)yrinic acid a,c-diamide adenosyltransferase PduO~~~EC:2.5.1.17,BlastRules:WP_001029486
03e445ecc7e3fa6761d0005fc32f6b65-contig_1-28451-29377--	WP_003228827	319	332	34.3	2.38e-56	184	WP_003228827 BlastRules~~~80~~~94.0~~~90.0~~~90.0~~~nupQ~~~guanosine ABC transporter permease NupQ~~~BlastRules:WP_003228827
a92060cf6f9974379d87aad9fc9a8550-contig_1-29364-30404--	WP_003243735	348	328	38.1	1.12e-51	174	WP_003243735 BlastRules~~~80~~~94.0~~~90.0~~~90.0~~~nupP~~~guanosine ABC transporter permease NupP~~~BlastRules:WP_003243735
58a76771bbbdb278cfd89e3c3128589e-contig_1-30401-32032--	WP_003228830	510	523	44.7	1.66e-136	405	WP_003228830 BlastRules~~~80~~~94.0~~~90.0~~~90.0~~~nupO~~~guanosine ABC transporter ATP-binding protein NupO~~~BlastRules:WP_003228830
e2ffcfe786b46d95ae36eddc7563073d-contig_1-32065-33108--	WP_003228831	359	334	35.6	1.24e-49	169	WP_003228831 BlastRules~~~80~~~94.0~~~90.0~~~90.0~~~nupN~~~guanosine ABC transporter substrate-binding protein NupN~~~BlastRules:WP_003228831
b9803dc591f30ef7247a2cfa1ab8e4b1-contig_1-33537-34628--	WP_003228831	359	316	35.8	5.60e-48	165	WP_003228831 BlastRules~~~80~~~94.0~~~90.0~~~90.0~~~nupN~~~guanosine ABC transporter substrate-binding protein NupN~~~BlastRules:WP_003228831
4878e6f12dad51e55179b626a0c98d2c-contig_1-35132-35590-+	WP_003245084	156	88	46.6	3.40e-17	73.2	WP_003245084 BlastRules~~~80~~~94.0~~~90.0~~~90.0~~~guaD~~~guanine deaminase~~~EC:3.5.4.3,BlastRules:WP_003245084
