# Location	% GC	% AT	% AG	% CT	% GT	% AC
0	30	70	36	64	49.8	50.2
500	27.4	72.6	43.5	56.5	50.7	49.3
1000	24.6	75.4	45.7	54.3	53.5	46.5
1500	23.2	76.8	49.8	50.2	50	50
2000	22.2	77.8	57.2	42.8	44	56
2500	26.3	73.7	51.4	48.6	46.3	53.7
3000	27.5	72.5	48.8	51.2	50.9	49.1
3500	24.8	75.2	57.2	42.8	46.2	53.8
4000	26.5	73.5	49.6	50.4	49.5	50.5
4500	27.7	72.3	47.4	52.6	51.9	48.1
5000	27.5	72.5	53.8	46.2	49.1	50.9
5500	27.3	72.7	55.7	44.3	46	54
6000	27.5	72.5	59.4	40.6	43.7	56.3
6500	27.1	72.9	60.1	39.9	43.6	56.4
7000	29.6	70.4	50.6	49.4	46.2	53.8
7500	31.1	68.9	39.1	60.9	52.2	47.8
8000	30	70	34.7	65.3	56.1	43.9
8500	32.2	67.8	33.8	66.2	55.6	44.4
9000	33.7	66.3	36.8	63.2	52.5	47.5
9500	31.7	68.3	36.7	63.3	53.2	46.8
10000	29	71	39	61	53.6	46.4
10500	28.1	71.9	44.1	55.9	51	49
11000	29.4	70.6	40	60	51.2	48.8
11500	30.8	69.2	33.1	66.9	54.1	45.9
12000	31.1	68.9	33.5	66.5	52.8	47.2
12500	30	70	36.5	63.5	50.7	49.3
13000	30.7	69.3	34.4	65.6	52.7	47.3
13500	30.9	69.1	35.1	64.9	51	49
14000	28.8	71.2	42.1	57.9	50.3	49.7
14500	25.3	74.7	42.2	57.8	55.5	44.5
15000	22.8	77.2	48.6	51.4	50.2	49.8
15500	23.2	76.8	57.6	42.4	43.2	56.8
16000	25.3	74.7	52.9	47.1	45.8	54.2
16500	27.6	72.4	47.6	52.4	50.4	49.6
17000	25.2	74.8	54.8	45.2	47.4	52.6
17500	25.7	74.3	53.4	46.6	47.5	52.5
18000	27.8	72.2	46.6	53.4	52.4	47.6
18500	27.2	72.8	53	47	49.4	50.6
19000	28.1	71.9	55.3	44.7	47.2	52.8
19500	28.1	71.9	58.1	41.9	44.2	55.8
20000	26.7	73.3	60.1	39.9	42.8	57.2
20500	29.1	70.9	55.1	44.9	43.8	56.2
