# Location	% GC	% AT	% AG	% CT	% GT	% AC
0	30.7	69.3	44.4	55.6	37.7	62.3
500	38.1	61.9	37	63	54.7	45.3
1000	40	60	30.3	69.7	63.5	36.5
1500	39	61	28.5	71.5	67.5	32.5
2000	36.8	63.2	34	66	63	37
2500	38.7	61.3	41.3	58.7	57.4	42.6
3000	40.1	59.9	43.8	56.2	57.7	42.3
3500	39.9	60.1	40.1	59.9	55.6	44.4
4000	44.5	55.5	36.3	63.7	49	51
4500	46.7	53.3	34.6	65.4	48.1	51.9
5000	43.6	56.4	34.1	65.9	48.5	51.5
5500	46	54	36.4	63.6	47	53
6000	46.1	53.9	39.7	60.3	48	52
6500	43.2	56.8	36.6	63.4	48.8	51.2
7000	43.8	56.2	33.3	66.7	49.3	50.7
7500	40.8	59.2	31.2	68.8	51.8	48.2
8000	34.2	65.8	26.4	73.6	59.6	40.4
8500	32.6	67.4	26.5	73.5	64.1	35.9
9000	32.4	67.6	32.7	67.3	61.1	38.9
9500	30.7	69.3	38.3	61.7	58.6	41.4
10000	32.5	67.5	41.1	58.9	59.4	40.6
10500	30.7	69.3	43.3	56.7	60	40
11000	29.8	70.2	42.2	57.8	61	39
11500	31.1	68.9	35.9	64.1	63.8	36.2
12000	30.6	69.4	35.9	64.1	62.3	37.7
12500	31.4	68.6	38.8	61.2	59.6	40.4
13000	31.5	68.5	40.1	59.9	59.6	40.4
13500	33.3	66.7	44.1	55.9	57.4	42.6
14000	34.3	65.7	41.2	58.8	58.1	41.9
14500	32.2	67.8	36.6	63.4	61.4	38.6
15000	33.5	66.5	38.4	61.6	60.3	39.7
15500	33.2	66.8	39.8	60.2	58.2	41.8
16000	31.7	68.3	41.4	58.6	61.5	38.5
16500	32.4	67.6	40.1	59.9	66.5	33.5
17000	30.6	69.4	37.8	62.2	63.8	36.2
17500	29.6	70.4	38.2	61.8	61.6	38.4
18000	32	68	39.5	60.5	62.7	37.3
18500	34.1	65.9	43.4	56.6	61.3	38.7
19000	36.5	63.5	37.9	62.1	60.6	39.4
19500	36.6	63.4	29.2	70.8	62.2	37.8
20000	33.8	66.2	29.4	70.6	63.2	36.8
20500	32.4	67.6	32.5	67.5	63.1	36.9
21000	32.6	67.4	42	58	57.4	42.6
21500	34.9	65.1	46.9	53.1	54	46
22000	34.5	65.5	37.9	62.1	57.4	42.6
22500	29.8	70.2	30.8	69.2	58.2	41.8
23000	29.2	70.8	32.1	67.9	58.1	41.9
23500	30.5	69.5	37.3	62.7	58	42
24000	29.1	70.9	43	57	58.7	41.3
24500	28	72	41.2	58.8	59.2	40.8
25000	28.3	71.7	36.4	63.6	56.1	43.9
25500	30.6	69.4	40.8	59.2	53.6	46.4
26000	32.4	67.6	46.5	53.5	53.1	46.9
26500	32.6	67.4	49	51	52	48
27000	35.1	64.9	45.6	54.4	52.7	47.3
27500	35.2	64.8	41.1	58.9	54.9	45.1
28000	32.9	67.1	44.3	55.7	52.4	47.6
28500	32.7	67.3	46.3	53.7	50.4	49.6
29000	33.4	66.6	44.5	55.5	50.7	49.3
29500	34.3	65.7	42.6	57.4	51.7	48.3
30000	34	66	43.3	56.7	52.9	47.1
30500	31.9	68.1	39.2	60.8	54.1	45.9
31000	31	69	43.5	56.5	54.1	45.9
31500	31.6	68.4	47	53	53.6	46.4
32000	33.6	66.4	46.4	53.6	50.2	49.8
32500	35.5	64.5	49.1	50.9	47.8	52.2
33000	32.8	67.2	43.9	56.1	49.9	50.1
33500	35.2	64.8	41.6	58.4	53.2	46.8
34000	34.5	65.5	46.3	53.7	52.2	47.8
34500	29.1	70.9	49.1	50.9	50.8	49.2
35000	30.3	69.7	45.5	54.5	53	47
35500	33.5	66.5	43.6	56.4	51.3	48.7
36000	34.8	65.2	39.9	60.1	53.9	46.1
36500	36	64	44.4	55.6	53.8	46.2
37000	35.9	64.1	47.8	52.2	53.1	46.9
37500	32.3	67.7	45.6	54.4	53.1	46.9
38000	30.5	69.5	50.8	49.2	49.5	50.5
38500	31.2	68.8	56.8	43.2	47.4	52.6
39000	36.8	63.2	59.3	40.7	46.3	53.7
39500	40.9	59.1	61.2	38.8	43.1	56.9
40000	38.5	61.5	59	41	42.3	57.7
40500	35.5	64.5	53.3	46.7	47.2	52.8
41000	34.7	65.3	51.8	48.2	49.3	50.7
41500	33.8	66.2	51.9	48.1	48.3	51.7
42000	36.5	63.5	57.3	42.7	48.2	51.8
42500	36.6	63.4	57	43	51	49
43000	34.7	65.3	56.2	43.8	48.7	51.3
43500	33	67	56.6	43.4	48.8	51.2
44000	30.8	69.2	53.9	46.1	52.5	47.5
44500	32.5	67.5	49.4	50.6	54.3	45.7
45000	30.7	69.3	47.6	52.4	54.7	45.3
45500	29.6	70.4	46.9	53.1	52.7	47.3
46000	29.5	70.5	43	57	50.9	49.1
46500	32	68	47.2	52.8	50	50
47000	43.8	56.2	52.4	47.6	44.8	55.2
47500	45.1	54.9	52.1	47.9	40.8	59.2
48000	37.4	62.6	47	53	49.2	50.8
48500	37.7	62.3	41.3	58.7	56.2	43.8
49000	38.7	61.3	39.3	60.7	57	43
49500	37	63	39.8	60.2	54.6	45.4
50000	38	62	41.1	58.9	53.3	46.7
50500	35.1	64.9	47.4	52.6	50.5	49.5
51000	32.2	67.8	51.5	48.5	46.9	53.1
51500	37.8	62.2	48.3	51.7	51.7	48.3
52000	38.7	61.3	49.3	50.7	54	46
