# Location	% GC	% AT	% AG	% CT	% GT	% AC
0	19.3	80.7	42	58	56.7	43.3
500	18.4	81.6	47	53	55	45
1000	16.8	83.2	49	51	52	48
1500	15.4	84.6	51	49	48.4	51.6
2000	15.9	84.1	53.7	46.3	46.6	53.4
2500	16.5	83.5	53.5	46.5	48.4	51.6
3000	15.3	84.7	50.4	49.6	51.1	48.9
3500	14.9	85.1	50.8	49.2	49.3	50.7
4000	16.1	83.9	51.8	48.2	48.7	51.3
4500	16.5	83.5	49.2	50.8	52.1	47.9
5000	15.7	84.3	48.6	51.4	52.3	47.7
5500	16.3	83.7	51.3	48.7	48.8	51.2
6000	18.9	81.1	52.2	47.8	48.3	51.7
6500	18.4	81.6	51.9	48.1	48.3	51.7
7000	16.8	83.2	50	50	50.4	49.6
7500	16.5	83.5	45.4	54.6	53.3	46.7
8000	17.2	82.8	45.7	54.3	52.3	47.7
8500	18	82	49.9	50.1	50.5	49.5
9000	16.9	83.1	52.1	47.9	48.2	51.8
9500	16	84	52.7	47.3	48.3	51.7
10000	16.7	83.3	52	48	49.9	50.1
10500	17.4	82.6	49.3	50.7	50.5	49.5
11000	15.4	84.6	45.9	54.1	53.5	46.5
11500	15.1	84.9	48.3	51.7	51.8	48.2
12000	16.9	83.1	50.6	49.4	50.5	49.5
12500	18.9	81.1	47.1	52.9	53.4	46.6
13000	19.2	80.8	45.8	54.2	54.4	45.6
13500	18.5	81.5	46.3	53.7	54.8	45.2
14000	19.5	80.5	45.4	54.6	53.9	46.1
14500	17.2	82.8	48.3	51.7	51.7	48.3
15000	14.5	85.5	50.4	49.6	50.5	49.5
15500	15.7	84.3	48.9	51.1	50.8	49.2
16000	19	81	50.5	49.5	49.3	50.7
16500	20.3	79.7	52.3	47.7	47.4	52.6
17000	19.2	80.8	52.4	47.6	46.6	53.4
17500	19.6	80.4	51.7	48.3	47.7	52.3
18000	24	76	45.1	54.9	51.9	48.1
18500	24.4	75.6	42.7	57.3	51.9	48.1
19000	21.7	78.3	50.8	49.2	48.9	51.1
19500	20.1	79.9	51.2	48.8	51.7	48.3
20000	16.4	83.6	49.3	50.7	51.3	48.7
20500	14.8	85.2	50.3	49.7	49.9	50.1
21000	18.1	81.9	50.5	49.5	50.2	49.8
21500	22.1	77.9	53.5	46.5	48.4	51.6
22000	23.8	76.2	60.3	39.7	46.1	53.9
22500	24.8	75.2	63.9	36.1	45.1	54.9
23000	25	75	60.5	39.5	48.7	51.3
23500	27	73	59.2	40.8	48.8	51.2
24000	27.1	72.9	60.5	39.5	47.8	52.2
24500	26.3	73.7	60.1	39.9	50	50
25000	21.3	78.7	55.2	44.8	49.7	50.3
25500	17.1	82.9	50.6	49.4	50.7	49.3
26000	19.7	80.3	49.7	50.3	51.4	48.6
26500	18.8	81.2	50.2	49.8	50	50
27000	15.1	84.9	49.5	50.5	51	49
27500	18.2	81.8	49	51	52.8	47.2
28000	19.6	80.4	48.8	51.2	53.8	46.2
28500	15.9	84.1	52.5	47.5	48.6	51.4
29000	15.9	84.1	54.2	45.8	45.5	54.5
29500	16.5	83.5	50.1	49.9	49	51
30000	16.9	83.1	47.5	52.5	50.8	49.2
30500	17.7	82.3	49.6	50.4	49.5	50.5
31000	17.5	82.5	50	50	50.1	49.9
31500	14.8	85.2	45.6	54.4	54	46
32000	14.4	85.6	45.8	54.2	53.4	46.6
32500	18.5	81.5	50.6	49.4	49.3	50.7
33000	20.1	79.9	51.2	48.8	47.9	52.1
33500	25.3	74.7	47.7	52.3	50	50
34000	29.3	70.7	47.4	52.6	49.1	50.9
34500	20.9	79.1	50.5	49.5	46.6	53.4
