# Location	% GC	% AT	% AG	% CT	% GT	% AC
0	22.9	77.1	47.9	52.1	52.6	47.4
500	26.9	73.1	49	51	49.7	50.3
1000	24.4	75.6	49.5	50.5	49.5	50.5
1500	18.6	81.4	48	52	49.2	50.8
2000	25.2	74.8	42.8	57.2	50.2	49.8
2500	22.6	77.4	48.2	51.8	48.2	51.8
3000	19.1	80.9	48.5	51.5	49.2	50.8
3500	24.9	75.1	44.5	55.5	50.4	49.6
4000	24.6	75.4	49.9	50.1	49.1	50.9
4500	23.4	76.6	55.1	44.9	48.7	51.3
5000	28.4	71.6	51.8	48.2	52.4	47.6
5500	23.8	76.2	50.1	49.9	52.9	47.1
6000	19.2	80.8	63.2	36.8	44.4	55.6
6500	23.4	76.6	68.7	31.3	43.3	56.7
7000	28.4	71.6	54.1	45.9	50.9	49.1
7500	32.4	67.6	47.7	52.3	52.3	47.7
8000	33	67	53.3	46.7	49.3	50.7
8500	25.8	74.2	52	48	47.8	52.2
9000	21	79	47.8	52.2	51.8	48.2
9500	23	77	50.3	49.7	52.9	47.1
10000	20.9	79.1	52.8	47.2	51.9	48.1
10500	16.5	83.5	52.6	47.4	49.9	50.1
11000	22.4	77.6	53.5	46.5	48.1	51.9
11500	28.4	71.6	55.4	44.6	49.4	50.6
12000	29.6	70.4	55	45	47.6	52.4
12500	30.5	69.5	55.8	44.2	47.3	52.7
13000	33.3	66.7	53.8	46.2	50.5	49.5
13500	31.6	68.4	49.5	50.5	52.9	47.1
14000	24.1	75.9	47.8	52.2	54.7	45.3
14500	23.8	76.2	45.9	54.1	53.9	46.1
15000	29	71	42.5	57.5	56.7	43.3
15500	30.2	69.8	39.6	60.4	58.8	41.2
16000	29.4	70.6	43.3	56.7	54.7	45.3
16500	31.9	68.1	46.3	53.7	55	45
17000	29.6	70.4	43.1	56.9	56.3	43.7
17500	24.7	75.3	41	59	57.9	42.1
18000	29	71	41	59	56.8	43.2
18500	27.5	72.5	44.5	55.5	52.6	47.4
19000	20.9	79.1	46.7	53.3	51.8	48.2
19500	20	80	46.8	53.2	53	47
20000	17.1	82.9	50.1	49.9	50.8	49.2
20500	19.7	80.3	51	49	49.1	50.9
21000	22.8	77.2	48.1	51.9	50.3	49.7
21500	23	77	44	56	55	45
22000	23.1	76.9	45.4	54.6	55.3	44.7
22500	22.3	77.7	49.1	50.9	50.6	49.4
23000	19.7	80.3	50.3	49.7	48.8	51.2
23500	19.6	80.4	47.8	52.2	50.2	49.8
24000	26.9	73.1	45.9	54.1	50	50
24500	27.6	72.4	50.4	49.6	47	53
25000	24.8	75.2	50.9	49.1	49.1	50.9
25500	27	73	50.2	49.8	50.4	49.6
26000	27.3	72.7	52.3	47.7	51.2	48.8
