# Location	% GC	% AT	% AG	% CT	% GT	% AC
0	38.4	61.6	63	37	40.2	59.8
500	36.8	63.2	58.9	41.1	40.7	59.3
1000	36.4	63.6	58.7	41.3	40.9	59.1
1500	37.5	62.5	56.4	43.6	41.9	58.1
2000	37.6	62.4	54.5	45.5	41.1	58.9
2500	36.7	63.3	52.7	47.3	39.6	60.4
3000	35.4	64.6	44.9	55.1	39.9	60.1
3500	35.6	64.4	42.7	57.3	41.9	58.1
4000	34.6	65.4	42.2	57.8	44	56
4500	32.9	67.1	37.4	62.6	41.7	58.3
5000	33.6	66.4	44.1	55.9	36.9	63.1
5500	36	64	49.9	50.1	34.7	65.3
6000	37.1	62.9	41.4	58.6	37.9	62.1
6500	36.1	63.9	40	60	40.7	59.3
7000	34.8	65.2	47.1	52.9	39.5	60.5
7500	31.6	68.4	47.4	52.6	38.6	61.4
8000	34.3	65.7	48.7	51.3	38.4	61.6
8500	37.7	62.3	56.7	43.3	38.4	61.6
9000	34.5	65.5	45.4	54.6	38.1	61.9
9500	35.4	64.6	28.1	71.9	41.1	58.9
10000	32.7	67.3	32.2	67.8	41.9	58.1
10500	30.5	69.5	36.9	63.1	40	60
11000	31.4	68.6	41.9	58.1	36.7	63.3
11500	33.6	66.4	47.2	52.8	35	65
12000	36.9	63.1	45.5	54.5	38	62
12500	35.1	64.9	38.3	61.7	41	59
13000	34.1	65.9	34.3	65.7	42	58
13500	33.2	66.8	38.7	61.3	40.5	59.5
14000	35.6	64.4	40.5	59.5	41.5	58.5
14500	38.1	61.9	36.3	63.7	42.4	57.6
15000	36	64	33.7	66.3	41.7	58.3
15500	34.9	65.1	34.7	65.3	45	55
16000	33.9	66.1	32.2	67.8	45.7	54.3
16500	35.7	64.3	30.4	69.6	39.5	60.5
17000	35.6	64.4	33.2	66.8	38.2	61.8
17500	34.8	65.2	40	60	39.6	60.4
18000	36.6	63.4	41.6	58.4	41	59
18500	37.9	62.1	41.8	58.2	42.3	57.7
19000	33.7	66.3	41.4	58.6	40.1	59.9
19500	31.9	68.1	37.4	62.6	39.5	60.5
20000	35.5	64.5	37.6	62.4	40.5	59.5
20500	34.1	65.9	36.5	63.5	39.8	60.2
21000	34	66	37	63	39.2	60.8
21500	34.3	65.7	45.2	54.8	38.1	61.9
22000	32.8	67.2	45.6	54.4	42	58
22500	32.9	67.1	51	49	43.3	56.7
23000	34.8	65.2	48.6	51.4	38	62
23500	35.6	64.4	35.2	64.8	35.6	64.4
24000	35.4	64.6	27.6	72.4	40.2	59.8
24500	34	66	33.3	66.7	43.5	56.5
25000	33.2	66.8	43	57	46.4	53.6
25500	32.8	67.2	38.8	61.2	47.6	52.4
26000	33.6	66.4	31.2	68.8	44.2	55.8
26500	35.1	64.9	30.5	69.5	41.2	58.8
27000	34.3	65.7	31.7	68.3	40.2	59.8
27500	32.6	67.4	29.3	70.7	42.1	57.9
28000	33.7	66.3	29.1	70.9	41.6	58.4
28500	37.2	62.8	28.5	71.5	40.3	59.7
29000	35.6	64.4	32.7	67.3	35.5	64.5
29500	32	68	37	63	33	67
30000	33.1	66.9	34.9	65.1	37.2	62.8
30500	36.4	63.6	49.5	50.5	47.1	52.9
31000	39.3	60.7	66.1	33.9	54	46
31500	40.2	59.8	66.9	33.1	54.3	45.7
32000	39.1	60.9	65.9	34.1	54.6	45.4
32500	37.6	62.4	65.6	34.4	52.4	47.6
33000	35.8	64.2	61.8	38.2	51.6	48.4
33500	33.2	66.8	53.7	46.3	51.3	48.7
34000	32.6	67.4	57	43	55	45
34500	36.2	63.8	67.5	32.5	59.3	40.7
35000	38	62	71	29	57.2	42.8
35500	37.1	62.9	68.5	31.5	55.8	44.2
36000	35.3	64.7	66.1	33.9	55	45
36500	36.1	63.9	62	38	53.1	46.9
37000	35.8	64.2	54.5	45.5	53.1	46.9
37500	34.4	65.6	51.2	48.8	53.2	46.8
38000	37.4	62.6	51.7	48.3	46.1	53.9
38500	47	53	47.8	52.2	41.8	58.2
39000	51.7	48.3	42	58	45.1	54.9
39500	46.4	53.6	38.9	61.1	42.3	57.7
40000	46.9	53.1	36.8	63.2	41.7	58.3
40500	45.8	54.2	37.6	62.4	45.2	54.8
41000	46.7	53.3	40.4	59.6	44.1	55.9
41500	49.9	50.1	39.1	60.9	42.6	57.4
42000	47.3	52.7	35.9	64.1	41.8	58.2
42500	41.4	58.6	32.7	67.3	41.5	58.5
43000	38.8	61.2	31.2	68.8	40	60
43500	40.1	59.9	31	69	42.9	57.1
44000	36.1	63.9	29.8	70.2	45.9	54.1
44500	33.9	66.1	33.4	66.6	43.5	56.5
45000	35.6	64.4	35.1	64.9	40.9	59.1
45500	34.2	65.8	36.2	63.8	42	58
46000	32	68	44.9	55.1	46.9	53.1
46500	32.3	67.7	59.2	40.8	48.3	51.7
47000	32	68	64.1	35.9	49.3	50.7
47500	29.4	70.6	62.5	37.5	48.9	51.1
48000	31.9	68.1	61.7	38.3	50.2	49.8
48500	35.4	64.6	60.1	39.9	53.3	46.7
49000	35.8	64.2	60.8	39.2	54.6	45.4
49500	36.6	63.4	60.7	39.3	55.7	44.3
50000	33.8	66.2	61.4	38.6	52.2	47.8
50500	30	70	62	38	48.2	51.8
51000	29.6	70.4	62.7	37.3	50.1	49.9
51500	33.5	66.5	60.6	39.4	53.7	46.3
