# Location	% GC	% AT	% AG	% CT	% GT	% AC
0	40.5	59.5	51.3	48.7	45.2	54.8
500	40.8	59.2	45.2	54.8	39.6	60.4
1000	36.2	63.8	42.4	57.6	39.6	60.4
1500	38.3	61.7	40.9	59.1	42.8	57.2
2000	41.5	58.5	43.5	56.5	45	55
2500	41.3	58.7	44.7	55.3	43.4	56.6
3000	38.9	61.1	47.2	52.8	47.1	52.9
3500	36.7	63.3	48.8	51.2	51.5	48.5
4000	36.2	63.8	47.2	52.8	51.4	48.6
4500	38.6	61.4	47.1	52.9	53.1	46.9
5000	38	62	48.3	51.7	52.7	47.3
5500	36.7	63.3	54.6	45.4	43.9	56.1
6000	37.2	62.8	54.7	45.3	42.5	57.5
6500	38.9	61.1	50.6	49.4	53.7	46.3
7000	39.9	60.1	57	43	59.1	40.9
7500	40.7	59.3	60.2	39.8	57.3	42.7
8000	42.8	57.2	60.1	39.9	55.1	44.9
8500	43.4	56.6	65.9	34.1	55.9	44.1
9000	39.9	60.1	65.3	34.7	58	42
9500	42.3	57.7	61.2	38.8	60.1	39.9
10000	47.6	52.4	62.5	37.5	59.5	40.5
10500	45.1	54.9	60.7	39.3	58.4	41.6
11000	42.2	57.8	58.4	41.6	58.6	41.4
11500	42.6	57.4	58.9	41.1	60.7	39.3
12000	40.3	59.7	52.3	47.7	58.8	41.2
12500	38.2	61.8	48.9	51.1	56.7	43.3
13000	37	63	56	44	56.2	43.8
13500	39.9	60.1	58.1	41.9	57.4	42.6
14000	41.4	58.6	56.7	43.3	57.5	42.5
14500	39.5	60.5	59	41	53.7	46.3
15000	42.4	57.6	60.9	39.1	55.1	44.9
15500	39.5	60.5	58.5	41.5	53.4	46.6
16000	32.3	67.7	55.3	44.7	50.4	49.6
16500	29.3	70.7	58.7	41.3	50.4	49.6
17000	30.5	69.5	62.2	37.8	50.7	49.3
17500	29.3	70.7	60.8	39.2	48.5	51.5
18000	28.4	71.6	61.7	38.3	43.5	56.5
18500	29.8	70.2	61	39	46.4	53.6
19000	30.6	69.4	60.6	39.4	53	47
19500	29.3	70.7	63.1	36.9	51.4	48.6
20000	28.6	71.4	59.8	40.2	46.6	53.4
20500	30.1	69.9	59.5	40.5	45.6	54.4
21000	28.9	71.1	64.8	35.2	42.9	57.1
21500	28.9	71.1	62.8	37.2	44.9	55.1
22000	31.6	68.4	60.4	39.6	48.4	51.6
22500	30.7	69.3	61.2	38.8	47.3	52.7
23000	30.5	69.5	61.2	38.8	50.7	49.3
23500	30.2	69.8	62	38	53.4	46.6
24000	28.4	71.6	61.8	38.2	50.8	49.2
24500	29.4	70.6	62.9	37.1	49.3	50.7
25000	32.7	67.3	65.6	34.4	52.3	47.7
25500	36.4	63.6	64.3	35.7	56.9	43.1
26000	34.9	65.1	62.1	37.9	54.2	45.8
26500	30.3	69.7	61.2	38.8	49.1	50.9
27000	30.3	69.7	62.1	37.9	53.2	46.8
27500	30.2	69.8	63.2	36.8	57.2	42.8
28000	28.1	71.9	59	41	56.1	43.9
28500	30.6	69.4	54.6	45.4	55.4	44.6
29000	31.5	68.5	55.2	44.8	52.1	47.9
29500	29.1	70.9	60.3	39.7	49.8	50.2
30000	29.2	70.8	63.6	36.4	51.8	48.2
30500	29.8	70.2	64.1	35.9	54.1	45.9
31000	30.3	69.7	64.7	35.3	54	46
31500	29.7	70.3	64.2	35.8	53.5	46.5
32000	29.4	70.6	65	35	52.6	47.4
32500	31.1	68.9	64.4	35.6	54.9	45.1
33000	29.1	70.9	57.2	42.8	57.7	42.3
33500	29.2	70.8	58.1	41.9	52.9	47.1
34000	31.9	68.1	65.5	34.5	50.2	49.8
34500	30.6	69.4	66.4	33.6	49.8	50.2
35000	30.6	69.4	66	34	50	50
35500	30.1	69.9	64.1	35.9	49.8	50.2
36000	33.3	66.7	65.3	34.7	53	47
36500	40.3	59.7	68	32	61.7	38.3
37000	35.9	64.1	65	35	62.1	37.9
37500	30.3	69.7	59.9	40.1	56.8	43.2
38000	33.4	66.6	59.2	40.8	53.6	46.4
38500	36.7	63.3	60.3	39.7	53.4	46.6
39000	35.6	64.4	57.4	42.6	54.8	45.2
39500	34.8	65.2	52.7	47.3	52.5	47.5
40000	38.9	61.1	51.3	48.7	48.4	51.6
40500	33.8	66.2	50.1	49.9	52.9	47.1
41000	28.3	71.7	54.1	45.9	55.2	44.8
41500	31	69	58.4	41.6	49.6	50.4
42000	30.8	69.2	59.7	40.3	45.3	54.7
42500	31.7	68.3	61	39	46.9	53.1
43000	33.2	66.8	59.7	40.3	54.5	45.5
43500	32.1	67.9	60.1	39.9	52.4	47.6
44000	30.9	69.1	60.2	39.8	48.9	51.1
44500	30.2	69.8	60.7	39.3	50.5	49.5
45000	30.3	69.7	62.6	37.4	52.7	47.3
45500	31.2	68.8	63.6	36.4	57	43
46000	32.4	67.6	54.8	45.2	52.8	47.2
46500	37.1	62.9	42.9	57.1	45.2	54.8
47000	41.5	58.5	40.5	59.5	43.4	56.6
47500	35.6	64.4	45.4	54.6	43.4	56.6
48000	35.3	64.7	45.5	54.5	45.2	54.8
48500	39.4	60.6	44.6	55.4	48	52
49000	38.9	61.1	51.5	48.5	46.8	53.2
49500	41.2	58.8	55.4	44.6	47.8	52.2
50000	39.1	60.9	55.8	44.2	48.7	51.3
50500	35.2	64.8	51.4	48.6	47.6	52.4
51000	35	65	51.2	48.8	48.6	51.4
51500	38.2	61.8	56	44	50.8	49.2
52000	40.4	59.6	57.5	42.5	50.9	49.1
52500	38.7	61.3	55.4	44.6	46.7	53.3
53000	36.1	63.9	47.3	52.7	47	53
53500	35.8	64.2	45	55	48.4	51.6
54000	35.8	64.2	45.3	54.7	45.3	54.7
54500	37.8	62.2	45.6	54.4	45	55
55000	40.3	59.7	46.6	53.4	47.3	52.7
55500	41.3	58.7	47.5	52.5	48	52
56000	40.9	59.1	48.7	51.3	49.2	50.8
56500	37.8	62.2	53.3	46.7	49.5	50.5
57000	38.9	61.1	53.8	46.2	52.3	47.7
57500	40.4	59.6	47.7	52.3	56.5	43.5
58000	40.2	59.8	50.8	49.2	57.2	42.8
58500	39.8	60.2	57.4	42.6	56.6	43.4
59000	38.5	61.5	59.6	40.4	57.3	42.7
59500	39.4	60.6	61	39	56	44
60000	39.1	60.9	61.9	38.1	54.2	45.8
60500	37	63	60.4	39.6	50.2	49.8
61000	35.3	64.7	50.6	49.4	53.3	46.7
61500	36.8	63.2	40.9	59.1	55.1	44.9
62000	39.4	60.6	41.8	58.2	45.8	54.2
62500	38.1	61.9	44	56	45.7	54.3
63000	38	62	50.8	49.2	46.6	53.4
63500	39.7	60.3	56	44	44.5	55.5
64000	39.9	60.1	55.6	44.4	51.5	48.5
64500	39.1	60.9	61.4	38.6	52.9	47.1
65000	37.1	62.9	63.1	36.9	48	52
65500	37.4	62.6	63.1	36.9	49.7	50.3
66000	37.3	62.7	67.8	32.2	48.5	51.5
66500	36.7	63.3	63.3	36.7	49.2	50.8
67000	37.5	62.5	50.5	49.5	54.4	45.6
67500	37.7	62.3	42.7	57.3	54.8	45.2
68000	39.9	60.1	46.8	53.2	51.5	48.5
68500	40.6	59.4	55.2	44.8	50	50
69000	40.2	59.8	59.4	40.6	48.6	51.4
69500	37.5	62.5	54.9	45.1	46.8	53.2
70000	36	64	45.2	54.8	45.8	54.2
70500	37.6	62.4	42	58	45.4	54.6
71000	37.1	62.9	42.5	57.5	45.6	54.4
71500	35.9	64.1	43.4	56.6	43.1	56.9
72000	36	64	43.5	56.5	44.7	55.3
72500	35.9	64.1	46.6	53.4	48.5	51.5
73000	36.5	63.5	54.4	45.6	49.9	50.1
73500	37.4	62.6	57	43	55.4	44.6
74000	38.2	61.8	58.9	41.1	54.7	45.3
74500	37.7	62.3	57.3	42.7	51.8	48.2
75000	37.5	62.5	58.5	41.5	53.4	46.6
75500	39.8	60.2	60.3	39.7	51.7	48.3
76000	35.1	64.9	55	45	49.3	50.7
76500	32.3	67.7	53	47	47.9	52.1
77000	36.9	63.1	51.6	48.4	48.1	51.9
77500	38.2	61.8	46.8	53.2	49	51
78000	37.4	62.6	45.5	54.5	49.5	50.5
78500	38.9	61.1	43.3	56.7	52.2	47.8
79000	42.4	57.6	41.7	58.3	55.7	44.3
79500	39.2	60.8	44.1	55.9	48.9	51.1
80000	36.2	63.8	42.3	57.7	41.1	58.9
